57141,Laweyan,Penumping,-7.5569,110.8345
57142,Laweyan,Sriwedari,-7.5580,110.8360
57143,Laweyan,Bumi,-7.5550,110.8320
57144,Laweyan,Karangasem,-7.5590,110.8380
57145,Laweyan,Ketelan,-7.5560,110.8330
57146,Laweyan,Banyuanyar,-7.5540,110.8310
57147,Laweyan,Laweyan,-7.5570,110.8340
57148,Laweyan,Pajang,-7.5520,110.8290
57149,Laweyan,Kerten,-7.5575,110.8350
57151,Serengan,Serengan,-7.5700,110.8100
57152,Serengan,Cangkeman,-7.5710,110.8110
57153,Serengan,Kratonan,-7.5690,110.8090
57154,Serengan,Jagalan,-7.5720,110.8120
57155,Serengan,Bangkong,-7.5680,110.8080
57156,Serengan,Bratan,-7.5730,110.8130
57157,Serengan,Tipes,-7.5670,110.8070
57161,Pasar Kliwon,Pasar Kliwon,-7.5650,110.8300
57162,Pasar Kliwon,Gajahan,-7.5660,110.8310
57163,Pasar Kliwon,Setabelan,-7.5640,110.8290
57164,Pasar Kliwon,Timuran,-7.5670,110.8320
57165,Pasar Kliwon,Baluwarti,-7.5630,110.8280
57166,Pasar Kliwon,Sangkrah,-7.5680,110.8330
57167,Pasar Kliwon,Keprabon,-7.5620,110.8270
57131,Jebres,Jebres,-7.5450,110.8450
57132,Jebres,Kepatihan Wetan,-7.5460,110.8460
57133,Jebres,Kepatihan Kulon,-7.5440,110.8440
57134,Jebres,Sudiroprajan,-7.5470,110.8470
57135,Jebres,Gandekan,-7.5430,110.8430
57136,Jebres,Bintaran,-7.5480,110.8480
57137,Jebres,Mojosongo,-7.5420,110.8420
57138,Jebres,Jagalan,-7.5490,110.8490
57139,Jebres,Bumi,-7.5410,110.8410
57111,Banjarsari,Gilingan,-7.5550,110.8000
57112,Banjarsari,Banjaran,-7.5560,110.8010
57113,Banjarsari,Kadipiro,-7.5540,110.7990
57114,Banjarsari,Kemlayan,-7.5570,110.8020
57115,Banjarsari,Purwosari,-7.5530,110.7980
57116,Banjarsari,Sondakan,-7.5580,110.8030
57117,Banjarsari,Joglo,-7.5520,110.7970
57118,Banjarsari,Tegalharjo,-7.5590,110.8040
57119,Banjarsari,Keprabon,-7.5510,110.7960
57121,Banjarsari,Manahan,-7.5600,110.8050
57122,Banjarsari,Pasar Kliwon,-7.5500,110.7950
57123,Banjarsari,Kestalan,-7.5610,110.8060
57124,Banjarsari,Gladag,-7.5490,110.7940
57125,Banjarsari,Keprabon,-7.5620,110.8070
57126,Banjarsari,Bumi,-7.5480,110.7930
